reg,dep,codgeo,codbe,libbe
84,63,63113,8457,CLERMONT FERRAND
84,63,63213,8457,CLERMONT FERRAND
84,63,63200,8457,CLERMONT FERRAND
84,63,63099,8457,CLERMONT FERRAND
84,63,63204,8457,CLERMONT FERRAND
84,63,63019,8457,CLERMONT FERRAND
84,63,63063,8457,CLERMONT FERRAND
84,63,63164,8457,CLERMONT FERRAND
84,63,63042,8457,CLERMONT FERRAND
84,63,63384,8459,AMBERT
84,63,63394,8459,AMBERT
84,63,63398,8459,AMBERT
84,63,63412,8459,AMBERT
84,63,63180,8455,THIERS
84,63,63184,8455,THIERS
84,63,63194,8455,THIERS
84,63,63195,8455,THIERS
84,63,63196,8455,THIERS
84,63,63201,8455,THIERS
84,63,63210,8455,THIERS
84,63,63231,8455,THIERS
84,63,63249,8455,THIERS
84,63,63253,8455,THIERS
84,63,63260,8455,THIERS
84,63,63265,8455,THIERS
84,63,63267,8455,THIERS
84,63,63271,8455,THIERS
84,63,63276,8455,THIERS
84,63,63291,8455,THIERS
84,63,63298,8455,THIERS
84,63,63301,8455,THIERS
84,63,63310,8455,THIERS
84,63,63364,8455,THIERS
84,63,63393,8455,THIERS
84,63,63402,8455,THIERS
84,63,63414,8455,THIERS
84,63,63418,8455,THIERS
84,63,63420,8455,THIERS
84,63,63430,8455,THIERS
84,63,63461,8455,THIERS
84,63,63463,8455,THIERS
84,63,63468,8455,THIERS
84,63,63469,8455,THIERS
84,63,63431,8459,AMBERT
84,63,63441,8459,AMBERT
84,63,63454,8459,AMBERT
84,63,63465,8459,AMBERT
84,63,63002,8459,AMBERT
84,63,63003,8459,AMBERT
84,63,63010,8459,AMBERT
84,63,63023,8459,AMBERT
84,63,63027,8459,AMBERT
84,63,63037,8459,AMBERT
84,63,63039,8459,AMBERT
84,63,63056,8459,AMBERT
84,63,63008,8455,THIERS
84,63,63015,8455,THIERS
84,63,63016,8455,THIERS
84,63,63058,8455,THIERS
84,63,63066,8455,THIERS
84,63,63072,8455,THIERS
