,codgeo,taux_accueil_collectif,taux_accueil_individuel,taux_accueil_total,annee
236,01249,27.8,36.6,66.8,2022
237,02168,22.4,34.3,61.9,2022
238,02173,23.1,50.8,80.0,2022
239,02738,9.9,43.3,63.7,2022
240,02810,13.2,57.4,71.0,2022
241,06027,26.4,25.4,51.7,2022
242,06029,39.4,13.3,54.2,2022
243,06079,44.7,25.4,70.1,2022
244,06083,25.3,24.0,49.4,2022
245,06085,45.9,25.5,71.7,2022
246,06088,28.6,17.2,48.6,2022
247,07102,33.4,45.8,82.6,2022
248,09225,39.4,20.1,61.5,2022
249,10323,12.6,36.0,59.6,2022
250,11076,26.3,21.5,55.5,2022
251,11203,15.0,18.8,42.8,2022
252,11262,19.2,18.8,43.5,2022
253,12300,14.9,32.4,61.1,2022
254,13004,13.3,18.4,35.5,2022
255,13026,18.6,18.4,37.2,2022
256,13047,30.6,18.1,49.0,2022
257,13054,24.5,21.1,45.7,2022
258,13077,25.1,12.7,49.1,2022
259,13110,37.5,26.8,64.0,2022
260,13117,29.1,16.2,47.3,2022
261,13205,44.7,22.6,67.3,2022
262,13206,60.6,22.9,84.3,2022
263,13209,44.0,22.8,67.8,2022
264,13212,33.0,21.7,55.3,2022
265,14118,43.7,25.1,76.0,2022
266,17299,35.7,41.2,83.6,2022
267,17415,32.0,53.5,87.8,2022
268,18033,16.3,37.0,58.7,2022
269,18279,10.1,32.3,45.6,2022
270,19031,32.1,28.0,68.5,2022
271,21054,36.9,44.0,89.6,2022
272,21171,13.9,52.3,68.9,2022
273,21231,43.1,23.5,70.2,2022
274,22093,14.7,71.3,91.2,2022
275,22113,32.4,47.1,88.6,2022
276,22215,22.6,56.7,85.9,2022
277,22278,14.8,33.1,54.5,2022
278,23096,29.0,44.9,86.9,2022
279,24053,30.0,42.4,77.7,2022
280,24322,44.6,25.5,74.5,2022
281,25031,18.1,25.4,50.9,2022
282,25462,22.2,28.5,50.9,2022
283,26198,17.5,27.6,46.7,2022
284,26252,12.0,40.5,54.6,2022
285,26362,38.0,21.8,66.1,2022
286,27229,28.6,17.7,50.9,2022
287,27284,31.0,34.9,65.9,2022
288,27701,27.4,17.7,53.6,2022
289,28218,17.6,32.9,50.6,2022
290,29046,17.3,39.6,73.7,2022
291,29075,34.1,59.1,100.0,2022
292,29151,29.8,24.3,64.0,2022
293,29189,17.2,80.7,111.1,2022
294,29212,12.4,63.7,86.3,2022
295,29232,18.6,45.0,75.3,2022
296,29233,15.4,54.3,78.9,2022
297,30007,14.0,18.2,39.3,2022
298,30351,45.7,24.5,76.2,2022
299,31488,21.5,38.5,60.0,2022
300,31555,36.7,19.1,57.4,2022
301,31557,30.0,38.3,68.3,2022
