DEPCOM_ARM,LIBCOM_DEP,LIBCOM,nb_loues,nb_vacants,nb_vides,nb_asso,nb_occup_finan,nb_occup_temp,nb_ls
01001,L'Abergement-Clémenciat (01),L'Abergement-Clémenciat,31,1,0,0,0,0,32
01004,Ambérieu-en-Bugey (01),Ambérieu-en-Bugey,1906,96,59,1,47,0,2109
01005,Ambérieux-en-Dombes (01),Ambérieux-en-Dombes,107,3,2,0,1,0,113
01007,Ambronay (01),Ambronay,120,3,0,0,6,0,129
01008,Ambutrix (01),Ambutrix,16,1,0,0,0,0,17
01010,Anglefort (01),Anglefort,44,0,0,0,0,0,44
01011,Apremont (01),Apremont,23,0,0,0,1,0,24
01012,Aranc (01),Aranc,,,,,,,10
01013,Arandas (01),Arandas,,,,,,,2
01014,Arbent (01),Arbent,355,14,4,0,6,0,379
01015,Arboys en Bugey (01),Arboys en Bugey,,,,,,,2
01016,Arbigny (01),Arbigny,,,,,,,5
01017,Argis (01),Argis,,,,,,,5
01021,Ars-sur-Formans (01),Ars-sur-Formans,42,0,0,0,1,0,43
01022,Artemare (01),Artemare,86,0,0,0,3,0,89
01024,Attignat (01),Attignat,155,3,0,0,4,0,162
01025,Bâgé-Dommartin (01),Bâgé-Dommartin,77,0,2,0,4,0,83
01026,Bâgé-le-Châtel (01),Bâgé-le-Châtel,53,0,0,0,1,0,54
01027,Balan (01),Balan,85,4,1,0,1,0,91
01028,Baneins (01),Baneins,,,,,,,6
01029,Beaupont (01),Beaupont,34,0,0,0,0,0,34
01030,Beauregard (01),Beauregard,77,0,1,0,2,0,80
01031,Bellignat (01),Bellignat,688,28,25,0,28,0,769
01032,Béligneux (01),Béligneux,305,6,15,0,3,0,329
01033,Valserhône (01),Valserhône,1920,47,61,10,63,0,2101
01034,Belley (01),Belley,1008,36,66,0,15,0,1125
01035,Belleydoux (01),Belleydoux,,,,,,,6
01036,Valromey-sur-Séran (01),Valromey-sur-Séran,27,2,0,0,0,0,29
01038,Bény (01),Bény,24,0,0,0,0,0,24
01041,Bettant (01),Bettant,20,2,0,0,0,0,22
01042,Bey (01),Bey,14,0,0,0,0,0,14
01043,Beynost (01),Beynost,298,1,0,0,1,0,300
01044,Billiat (01),Billiat,29,0,0,0,2,0,31
01046,Biziat (01),Biziat,11,0,0,0,1,0,12
01047,Blyes (01),Blyes,53,1,0,0,0,0,54
01049,La Boisse (01),La Boisse,132,1,0,0,1,0,134
01051,Bolozon (01),Bolozon,,,,,,,2
01052,Bouligneux (01),Bouligneux,,,,,,,2
01053,Bourg-en-Bresse (01),Bourg-en-Bresse,6651,129,196,116,119,0,7211
01054,Bourg-Saint-Christophe (01),Bourg-Saint-Christophe,13,0,0,0,0,0,13
01057,Boz (01),Boz,,,,,,,6
01058,Brégnier-Cordon (01),Brégnier-Cordon,17,0,0,0,1,0,18
01060,Brénod (01),Brénod,13,0,0,0,0,0,13
01062,Bressolles (01),Bressolles,14,0,0,0,0,0,14
01063,Brion (01),Brion,33,1,1,0,0,0,35
01064,Briord (01),Briord,57,0,3,0,1,0,61
