CODGEO,LIBGEO,BV2022,LIBBV2022,TYPE_COMMUNE_BV2022,DEP,REG
01001,L'Abergement-Clémenciat,01093,Châtillon-sur-Chalaronne,00,01,84
01002,L'Abergement-de-Varey,01004,Ambérieu-en-Bugey,00,01,84
01004,Ambérieu-en-Bugey,01004,Ambérieu-en-Bugey,20,01,84
01005,Ambérieux-en-Dombes,01333,Saint-André-de-Corcy,00,01,84
01006,Ambléon,01034,Belley,00,01,84
01007,Ambronay,01004,Ambérieu-en-Bugey,00,01,84
01008,Ambutrix,01004,Ambérieu-en-Bugey,00,01,84
01009,Andert-et-Condon,01034,Belley,00,01,84
01010,Anglefort,74269,Seyssel,00,01,84
01011,Apremont,01283,Oyonnax,00,01,84
01012,Aranc,01185,Plateau d'Hauteville,00,01,84
01013,Arandas,01004,Ambérieu-en-Bugey,00,01,84
01014,Arbent,01283,Oyonnax,20,01,84
01015,Arboys en Bugey,01034,Belley,00,01,84
01016,Arbigny,01305,Pont-de-Vaux,00,01,84
01017,Argis,01185,Plateau d'Hauteville,00,01,84
01019,Armix,01034,Belley,00,01,84
01021,Ars-sur-Formans,69264,Villefranche-sur-Saône,00,01,84
01022,Artemare,01034,Belley,00,01,84
01023,Asnières-sur-Saône,71270,Mâcon,00,01,84
01024,Attignat,01266,Montrevel-en-Bresse,00,01,84
01025,Bâgé-Dommartin,71270,Mâcon,00,01,84
01026,Bâgé-le-Châtel,71270,Mâcon,00,01,84
01027,Balan,01262,Montluel,00,01,84
01028,Baneins,01093,Châtillon-sur-Chalaronne,00,01,84
01029,Beaupont,39475,Saint-Amour,00,01,84
01030,Beauregard,69264,Villefranche-sur-Saône,00,01,84
01031,Bellignat,01283,Oyonnax,00,01,84
01032,Béligneux,01262,Montluel,00,01,84
01033,Valserhône,01033,Valserhône,20,01,84
01034,Belley,01034,Belley,20,01,84
01035,Belleydoux,01283,Oyonnax,00,01,84
01036,Valromey-sur-Séran,01034,Belley,00,01,84
01037,Bénonces,38247,Montalieu-Vercieu,00,01,84
01038,Bény,01266,Montrevel-en-Bresse,00,01,84
01040,Béréziat,01266,Montrevel-en-Bresse,00,01,84
01041,Bettant,01004,Ambérieu-en-Bugey,00,01,84
01042,Bey,69019,Belleville-en-Beaujolais,00,01,84
01043,Beynost,69123,Lyon,20,01,84
01044,Billiat,01033,Valserhône,00,01,84
01045,Birieux,01443,Villars-les-Dombes,00,01,84
01046,Biziat,01457,Vonnas,00,01,84
01047,Blyes,01244,Meximieux,00,01,84
01049,La Boisse,01262,Montluel,00,01,84
01050,Boissey,01305,Pont-de-Vaux,00,01,84
01051,Bolozon,01072,Ceyzériat,00,01,84
01052,Bouligneux,01443,Villars-les-Dombes,00,01,84
01053,Bourg-en-Bresse,01053,Bourg-en-Bresse,20,01,84
01054,Bourg-Saint-Christophe,01244,Meximieux,00,01,84
01056,Boyeux-Saint-Jérôme,01004,Ambérieu-en-Bugey,00,01,84
01057,Boz,01305,Pont-de-Vaux,00,01,84
01058,Brégnier-Cordon,73236,Saint-Genix-les-Villages,00,01,84
01060,Brénod,01185,Plateau d'Hauteville,00,01,84
01061,Brens,01034,Belley,00,01,84
01062,Bressolles,01262,Montluel,00,01,84
01063,Brion,01265,Montréal-la-Cluse,00,01,84
01064,Briord,38247,Montalieu-Vercieu,00,01,84
01065,Buellas,01053,Bourg-en-Bresse,00,01,84
01066,La Burbanche,01034,Belley,00,01,84
01067,Ceignes,01265,Montréal-la-Cluse,00,01,84
01068,Cerdon,01004,Ambérieu-en-Bugey,00,01,84
01069,Certines,01053,Bourg-en-Bresse,00,01,84
01071,Cessy,01173,Gex,00,01,84
01072,Ceyzériat,01072,Ceyzériat,20,01,84
01073,Ceyzérieu,01138,Culoz-Béon,00,01,84
01074,Chalamont,01004,Ambérieu-en-Bugey,00,01,84
01075,Chaleins,69264,Villefranche-sur-Saône,00,01,84
01076,Chaley,01185,Plateau d'Hauteville,00,01,84
01077,Challes-la-Montagne,01004,Ambérieu-en-Bugey,00,01,84
01078,Challex,01354,Saint-Genis-Pouilly,00,01,84
01079,Champagne-en-Valromey,01034,Belley,00,01,84
01080,Champdor-Corcelles,01185,Plateau d'Hauteville,00,01,84
01081,Champfromier,01033,Valserhône,00,01,84
01082,Chanay,74269,Seyssel,00,01,84
01083,Chaneins,69019,Belleville-en-Beaujolais,00,01,84
01084,Chanoz-Châtenay,01093,Châtillon-sur-Chalaronne,00,01,84
01085,La Chapelle-du-Châtelard,01093,Châtillon-sur-Chalaronne,00,01,84
01087,Charix,01265,Montréal-la-Cluse,00,01,84
01088,Charnoz-sur-Ain,01244,Meximieux,00,01,84
01089,Château-Gaillard,01004,Ambérieu-en-Bugey,00,01,84
01090,Châtenay,01004,Ambérieu-en-Bugey,00,01,84
01092,Châtillon-la-Palud,01004,Ambérieu-en-Bugey,00,01,84
01093,Châtillon-sur-Chalaronne,01093,Châtillon-sur-Chalaronne,20,01,84
01094,Chavannes-sur-Reyssouze,01305,Pont-de-Vaux,00,01,84
01095,Nivigne et Suran,01072,Ceyzériat,00,01,84
01096,Chaveyriat,01457,Vonnas,00,01,84
01098,Chazey-Bons,01034,Belley,00,01,84
01099,Chazey-sur-Ain,01244,Meximieux,00,01,84
01100,Cheignieu-la-Balme,01034,Belley,00,01,84
01101,Chevillard,01265,Montréal-la-Cluse,00,01,84
01102,Chevroux,01305,Pont-de-Vaux,00,01,84
01103,Chevry,01354,Saint-Genis-Pouilly,00,01,84
01104,Chézery-Forens,01033,Valserhône,00,01,84
01105,Civrieux,69143,Neuville-sur-Saône,00,01,84
01106,Cize,01072,Ceyzériat,00,01,84
01107,Cleyzieu,01004,Ambérieu-en-Bugey,00,01,84
01108,Coligny,39475,Saint-Amour,00,01,84
01109,Collonges,01033,Valserhône,00,01,84
01110,Colomieu,01034,Belley,00,01,84
01111,Conand,01004,Ambérieu-en-Bugey,00,01,84
01112,Condamine,01265,Montréal-la-Cluse,00,01,84
01113,Condeissiat,01093,Châtillon-sur-Chalaronne,00,01,84
01114,Confort,01033,Valserhône,00,01,84
01115,Confrançon,01457,Vonnas,00,01,84
01116,Contrevoz,01034,Belley,00,01,84
01117,Conzieu,01034,Belley,00,01,84
01118,Corbonod,74269,Seyssel,00,01,84
01121,Corlier,01185,Plateau d'Hauteville,00,01,84
01123,Cormoranche-sur-Saône,71090,La Chapelle-de-Guinchay,00,01,84
01124,Cormoz,39475,Saint-Amour,00,01,84
01125,Corveissiat,01283,Oyonnax,00,01,84
01127,Courmangoux,39475,Saint-Amour,00,01,84
01128,Courtes,01305,Pont-de-Vaux,00,01,84
01129,Crans,01004,Ambérieu-en-Bugey,00,01,84
01130,Bresse Vallons,01266,Montrevel-en-Bresse,00,01,84
01133,Cressin-Rochefort,01034,Belley,00,01,84
01134,Crottet,71270,Mâcon,00,01,84
01135,Crozet,01354,Saint-Genis-Pouilly,00,01,84
01136,Cruzilles-lès-Mépillat,71270,Mâcon,00,01,84
01138,Culoz-Béon,01138,Culoz-Béon,11,01,84
01139,Curciat-Dongalon,01305,Pont-de-Vaux,00,01,84
01140,Curtafond,01053,Bourg-en-Bresse,00,01,84
01141,Cuzieu,01034,Belley,00,01,84
01142,Dagneux,01262,Montluel,20,01,84
01143,Divonne-les-Bains,01143,Divonne-les-Bains,20,01,84
01145,Dompierre-sur-Veyle,01053,Bourg-en-Bresse,00,01,84
01146,Dompierre-sur-Chalaronne,01093,Châtillon-sur-Chalaronne,00,01,84
01147,Domsure,39475,Saint-Amour,00,01,84
01148,Dortan,01283,Oyonnax,00,01,84
01149,Douvres,01004,Ambérieu-en-Bugey,00,01,84
01150,Drom,01072,Ceyzériat,00,01,84
01151,Druillat,01304,Pont-d'Ain,00,01,84
01152,Échallon,01283,Oyonnax,00,01,84
01153,Échenevex,01173,Gex,00,01,84
01155,Évosges,01185,Plateau d'Hauteville,00,01,84
01156,Faramans,01244,Meximieux,00,01,84
01157,Fareins,69264,Villefranche-sur-Saône,00,01,84
01158,Farges,01354,Saint-Genis-Pouilly,00,01,84
01159,Feillens,71270,Mâcon,00,01,84
01160,Ferney-Voltaire,01160,Ferney-Voltaire,20,01,84
01162,Flaxieu,01034,Belley,00,01,84
01163,Foissiat,01266,Montrevel-en-Bresse,00,01,84
01165,Francheleins,69019,Belleville-en-Beaujolais,00,01,84
01166,Frans,69264,Villefranche-sur-Saône,00,01,84
01167,Garnerans,69019,Belleville-en-Beaujolais,00,01,84
01169,Genouilleux,69019,Belleville-en-Beaujolais,00,01,84
01170,Béard-Géovreissiat,01265,Montréal-la-Cluse,00,01,84
01171,Géovreisset,01283,Oyonnax,00,01,84
01173,Gex,01173,Gex,20,01,84
01174,Giron,01283,Oyonnax,00,01,84
01175,Gorrevod,01305,Pont-de-Vaux,00,01,84
01177,Grand-Corent,01072,Ceyzériat,00,01,84
01179,Grièges,71270,Mâcon,00,01,84
01180,Grilly,01143,Divonne-les-Bains,00,01,84
01181,Groissiat,01283,Oyonnax,00,01,84
01183,Guéreins,69019,Belleville-en-Beaujolais,00,01,84
01184,Hautecourt-Romanèche,01072,Ceyzériat,00,01,84
01185,Plateau d'Hauteville,01185,Plateau d'Hauteville,20,01,84
01187,Haut Valromey,01185,Plateau d'Hauteville,00,01,84
01188,Illiat,69019,Belleville-en-Beaujolais,00,01,84
01189,Injoux-Génissiat,01033,Valserhône,00,01,84
01190,Innimond,01034,Belley,00,01,84
01191,Izenave,01185,Plateau d'Hauteville,00,01,84
01192,Izernore,01265,Montréal-la-Cluse,00,01,84
01193,Izieu,73236,Saint-Genix-les-Villages,00,01,84
01194,Jassans-Riottier,69264,Villefranche-sur-Saône,20,01,84
01195,Jasseron,01072,Ceyzériat,00,01,84
01196,Jayat,01266,Montrevel-en-Bresse,00,01,84
01197,Journans,01053,Bourg-en-Bresse,00,01,84
01198,Joyeux,01443,Villars-les-Dombes,00,01,84
01199,Jujurieux,01004,Ambérieu-en-Bugey,00,01,84
01200,Labalme,01004,Ambérieu-en-Bugey,00,01,84
01202,Lagnieu,01202,Lagnieu,20,01,84
01203,Laiz,71270,Mâcon,00,01,84
01204,Le Poizat-Lalleyriat,01265,Montréal-la-Cluse,00,01,84
01206,Lantenay,01265,Montréal-la-Cluse,00,01,84
01207,Lapeyrouse,01443,Villars-les-Dombes,00,01,84
01208,Lavours,01034,Belley,00,01,84
01209,Léaz,01033,Valserhône,00,01,84
01210,Lélex,01173,Gex,00,01,84
01211,Lent,01053,Bourg-en-Bresse,00,01,84
01212,Lescheroux,01266,Montrevel-en-Bresse,00,01,84
01213,Leyment,01004,Ambérieu-en-Bugey,00,01,84
01214,Leyssard,01265,Montréal-la-Cluse,00,01,84
01215,Surjoux-Lhopital,74269,Seyssel,00,01,84
