SIRET,Délai d'attribution moyen,,,,,
200000172,16.4,,,,,
200000438,19.6,,,,,
200000545,6.0,,,,,
200000628,6.0,,,,,
200000800,4.6,,,,,
200000925,7.4,,,,,
200000933,6.0,,,,,
200004802,10.9,,,,,
200005932,11.2,,,,,
200005957,3.8,,,,,
200006682,7.8,,,,,
200006716,5.6,,,,,
200006930,2.1,,,,,
200006971,5.2,,,,,
200007052,4.7,,,,,
200007177,5.9,,,,,
200010650,8.8,,,,,
200010700,9.5,,,,,
200011773,29.7,,,,,
200011781,3.7,,,,,
200013050,11.5,,,,,
200015162,12.8,,,,,
200016905,4.3,,,,,
200017341,23.9,,,,,
200017846,28.5,,,,,
200018083,13.7,,,,,
200018166,12.5,,,,,
200018406,6.0,,,,,
200018521,3.7,,,,,
200018653,13.9,,,,,
200022986,19.6,,,,,
200023075,5.1,,,,,
200023125,30.4,,,,,
200023240,20.0,,,,,
200023299,8.2,,,,,
200023307,9.1,,,,,
200023372,17.8,,,,,
200023414,11.4,,,,,
200023620,13.4,,,,,
200023737,7.9,,,,,
200023778,18.9,,,,,
200023794,19.3,,,,,
200023919,18.4,,,,,
200026573,3.7,,,,,
200027027,15.3,,,,,
200027076,4.7,,,,,
200027100,30.6,,,,,
200027183,14.1,,,,,
200027217,9.9,,,,,
200027308,7.6,,,,,
200027548,13.4,,,,,
200029734,11.2,,,,,
200029999,9.3,,,,,
200030195,31.1,,,,,
200030385,12.5,,,,,
200030435,12.7,,,,,
200030526,8.3,,,,,
200030633,12.5,,,,,
200030658,9.5,,,,,
200030674,9.7,,,,,
200032514,5.5,,,,,
200033025,5.4,,,,,
200033090,26.5,,,,,
200033116,15.7,,,,,
200033173,30.5,,,,,
200033181,12.3,,,,,
200033298,10.4,,,,,
200033579,11.9,,,,,
200033827,4.6,,,,,
200033868,4.0,,,,,
200034023,12.5,,,,,
200034031,4.3,,,,,
200034049,22.2,,,,,
200034056,9.1,,,,,
200034064,6.7,,,,,
200034098,14.9,,,,,
200034130,30.0,,,,,
200034197,9.3,,,,,
200034205,12.2,,,,,
200034270,9.1,,,,,
200034379,14.0,,,,,
200034411,12.1,,,,,
200034601,6.7,,,,,
200034635,16.1,,,,,
200034692,10.3,,,,,
200034700,15.7,,,,,
200034718,6.5,,,,,
200034726,4.4,,,,,
200034825,6.2,,,,,
200034833,6.1,,,,,
200034874,0.6,,,,,
200034882,12.1,,,,,
200034957,13.6,,,,,
200035087,15.6,,,,,
200035103,8.8,,,,,
200035111,5.1,,,,,
200035129,10.1,,,,,
200035137,2.3,,,,,
200035202,4.1,,,,,
200035319,26.7,,,,,
200035327,3.8,,,,,
200035442,8.2,,,,,
200035533,17.3,,,,,
200035541,11.6,,,,,
200035632,6.3,,,,,
200035707,13.4,,,,,
200035715,12.9,,,,,
200035723,6.2,,,,,
200035731,8.1,,,,,
200035756,8.4,,,,,
200035764,8.6,,,,,
200035772,4.9,,,,,
200035814,8.8,,,,,
200035848,3.6,,,,,
200035855,10.7,,,,,
200035863,15.7,,,,,
200035970,60.2,,,,,
200036069,8.8,,,,,
200036077,31.0,,,,,
200036135,4.7,,,,,
200036150,3.3,,,,,
200036465,8.4,,,,,
