codgeo,libgeo,apl_med_gen
01001,L'Abergement-Clémenciat,1.9
01002,L'Abergement-de-Varey,2.4
01004,Ambérieu-en-Bugey,3.1
01005,Ambérieux-en-Dombes,3.7
01006,Ambléon,0.9
01007,Ambronay,3.4
01008,Ambutrix,3.1
01009,Andert-et-Condon,3.8
01010,Anglefort,2.0
01011,Apremont,1.6
01012,Aranc,1.1
01013,Arandas,0.4
01014,Arbent,2.3
01015,Arboys en Bugey,2.7
01016,Arbigny,1.9
01017,Argis,1.2
01019,Armix,0.0
01021,Ars-sur-Formans,1.6
01022,Artemare,3.2
01023,Asnières-sur-Saône,1.2
01024,Attignat,3.4
01025,Bâgé-Dommartin,2.8
01026,Bâgé-le-Châtel,3.5
01027,Balan,3.3
01028,Baneins,1.9
01029,Beaupont,2.7
01030,Beauregard,3.5
01031,Bellignat,3.0
01032,Béligneux,1.7
01033,Valserhône,1.9
01034,Belley,3.7
01035,Belleydoux,3.3
01036,Valromey-sur-Séran,2.9
01037,Bénonces,0.8
01038,Bény,2.5
01040,Béréziat,2.2
01041,Bettant,3.2
01042,Bey,2.5
01043,Beynost,3.0
01044,Billiat,1.0
01045,Birieux,3.3
01046,Biziat,1.8
01047,Blyes,3.3
01049,La Boisse,3.2
01050,Boissey,1.5
01051,Bolozon,0.5
01052,Bouligneux,3.0
01053,Bourg-en-Bresse,3.2
01054,Bourg-Saint-Christophe,2.2
01056,Boyeux-Saint-Jérôme,0.7
01057,Boz,1.7
01058,Brégnier-Cordon,1.2
01060,Brénod,1.3
01061,Brens,3.5
01062,Bressolles,2.2
01063,Brion,3.0
01064,Briord,2.2
01065,Buellas,2.4
01066,La Burbanche,0.2
01067,Ceignes,1.7
01068,Cerdon,1.9
01069,Certines,3.5
01071,Cessy,2.6
01072,Ceyzériat,3.6
01073,Ceyzérieu,4.8
01074,Chalamont,2.7
01075,Chaleins,2.3
01076,Chaley,1.0
01077,Challes-la-Montagne,0.8
01078,Challex,1.4
01079,Champagne-en-Valromey,2.0
01080,Champdor-Corcelles,1.7
01081,Champfromier,1.1
01082,Chanay,0.6
01083,Chaneins,2.2
01084,Chanoz-Châtenay,1.7
01085,La Chapelle-du-Châtelard,2.8
01087,Charix,0.4
01088,Charnoz-sur-Ain,2.7
01089,Château-Gaillard,4.3
01090,Châtenay,1.5
01092,Châtillon-la-Palud,3.2
01093,Châtillon-sur-Chalaronne,1.5
01094,Chavannes-sur-Reyssouze,1.5
01095,Nivigne et Suran,2.4
01096,Chaveyriat,2.0
01098,Chazey-Bons,3.8
01099,Chazey-sur-Ain,3.7
01100,Cheignieu-la-Balme,2.0
01101,Chevillard,0.9
01102,Chevroux,1.9
01103,Chevry,2.3
01104,Chézery-Forens,0.6
01105,Civrieux,3.9
01106,Cize,1.9
01107,Cleyzieu,0.4
01108,Coligny,3.1
01109,Collonges,1.9
01110,Colomieu,0.8
01111,Conand,0.8
01112,Condamine,2.1
01113,Condeissiat,1.7
01114,Confort,1.8
01115,Confrançon,2.3
01116,Contrevoz,2.4
01117,Conzieu,0.8
01118,Corbonod,1.1
01121,Corlier,1.4
01123,Cormoranche-sur-Saône,3.6
01124,Cormoz,2.3
01125,Corveissiat,2.0
01127,Courmangoux,2.5
01128,Courtes,2.1
01129,Crans,1.4
01130,Bresse Vallons,2.3
01133,Cressin-Rochefort,4.1
01134,Crottet,4.1
01135,Crozet,1.5
01136,Cruzilles-lès-Mépillat,2.4
01138,Culoz-Béon,3.5
01139,Curciat-Dongalon,1.7
01140,Curtafond,2.0
01141,Cuzieu,4.6
01142,Dagneux,3.6
01143,Divonne-les-Bains,2.1
01145,Dompierre-sur-Veyle,1.6
01146,Dompierre-sur-Chalaronne,1.9
01147,Domsure,2.6
01148,Dortan,1.9
01149,Douvres,2.8
01150,Drom,2.7
01151,Druillat,2.9
01152,Échallon,0.0
01153,Échenevex,2.2
01155,Évosges,0.0
01156,Faramans,2.2
01157,Fareins,3.1
01158,Farges,1.5
01159,Feillens,3.9
01160,Ferney-Voltaire,1.6
